"2017-En-40023","	Este la mayoría de mierda de deprimir nunca	","sadness", 0.861
"2017-En-40100","	@username Entonces quizás  tendríamos que mantener nuestras bocas Blancas cerradas y dejar las personas que son apuntados habla y llorar .	","sadness", 0.729
"2017-En-40752","	Bien i oyó una vez antes de aquellas chicas están atraídas a hombres que parece su papá ! 👌 #Serio	","sadness", 0.188
"2017-En-40662","	i maravilla cómo una lata de tipo rompió su pene mientras habiendo sexo ? #Serio	","sadness", 0.292
"2017-En-40266","	@username @username Puesto un más húmedo en mi humor .	","sadness", 0.583
"2017-En-41492","	Honestamente siento nada hacia cualquier de mis padres y él es bastante deprimiendo	","sadness", 0.891
"2017-En-41043","	@username Childood las experiencias pueden dejar tú con tristeza profunda permanente cuando adulto  pueda underlie todo #MHChat	","sadness", 0.729
"2017-En-40622","	Llevar en mi hijo caprichoso, allí'll ser paz cuándo  estás hecho. Poner vuestro cansado se dirige a resto.  No  lloras no más. #Sobrenatural	","sadness", 0.318
"2017-En-40056","	El tiempo seguro empareja el humor en este estatal hoy .. #gloomy	","sadness", 0.792
"2017-En-40878","	@username @username Inicio mournful entonces chut a llave importante en último verso donde los tipos buenos ganan ? ( O palabras de cambio justo en existir canción ? )	","sadness", 0.562
"2017-En-20471","	#COINCIDENCIA ? ? ? Cuándo  giras en la televisión, etc.&amp; escucha &amp; reloj, el objetivo es a #CaptureYourMind con #temer &amp; #depresión. #FindGODNow!!!	","sadness", 0.667
"2017-En-41469","	@username Mannn No puedo contar cuánto tiempo  he tenido el ' #PR' necesidades de verja del poder algún serios actualizando ' conversación ...	","sadness", 0.479
"2017-En-41281","	@username Ver vuestro doctor de cuidado primario .  Pueden prescribir meds y referirte a un psiquiatra para eval .  No desorden con depresión .	","sadness", 0.521
"2017-En-40204","	Si Payet va cualquiera en Jan o @ el fin de estaciones, no puede decir  le culpo. El chico tiene que b tan disheartened por qué  está viendo en el mo.	","sadness", 0.625
"2017-En-41154","	  Sabes las manzanas giran marrones cuándo una enzima llamó polyphenol oxidase reacciona con oxígeno ! Bien  atenúo # #applefacts 🤓 🍏	","sadness", 0.167
"2017-En-40422","	@username #CureForInsomnia Y la izquierda dijo que éramos todos condenan & gloom . El Tren de Triunfo es tanto más divertido !	","sadness", 0.458
"2017-En-40503","	Candice  pout consigue más preposterous por la semana . Esta semana está ido un poco Jack Nicholson  Bromista . #GBBO	","sadness", 0.397
"2017-En-41131","	@username @username Absolutamente aburriendo . M un seguidor de Manchester United grande,  nd su realmente decepcionante de verles juego en ths atenúa la manera aburrida	","sadness", 0.625
"2017-En-40846","	Tiene que de quedado en Dubai 😞	","sadness", 0.708
"2017-En-40290","	Dos mantas, un hoody, y todavía ningún Sol Eterno a mope a.	","sadness", 0.562
"2017-En-40980","	Vale lo Realmente justo hundido en aquel I estoy viendo el 🐐 en unas cuantas horas .. uau 🙄 🙄	","sadness", 0.417
"2017-En-41418","	@username Si aquello es messin no puedo esperar para ver #serio ! ! Material brillante	","sadness", 0.240
"2017-En-40171","	@username es viejo tristemente	","sadness", 0.667
"2017-En-40593","	 dije mi chiropractor '  soy aquí para un tiempo bueno no un tiempo largo ' cuando  cuestione mis hábitos y todavía otra vez  he unnerved un doctor	","sadness", 0.340
"2017-En-41239","	soy fuerte ' causa soy débil \ nI soy bonito ' causa  sé mis defectos \ nI soy osado ' causa he sido temeroso \ nI puede reír ' causa  he sabido tristeza ..	","sadness", 0.500
"2017-En-40615","	@username  Es . \ nSure Su mente era clouded pero ... ]	","sadness", 0.333
"2017-En-40401","	@username @username @username Me llamo un pessimist, pero no pienso la terapia puede fijar cualquier cosa es mal con Anthony Weiner.	","sadness", 0.479
"2017-En-40399","	Situaciones ásperas justas en todas partes para Schalke y Werder Bremen para empezar la campaña . Bremen dashed tarde con un director nuevo . Ambos con num .	","sadness", 0.479
"2017-En-41324","	Honestamente no sabe por qué soy tan infeliz la mayoría del tiempo . Justo lo quiero todo para parar :( #depresión #infeliz #itnevergoes	","sadness", 0.896
"2017-En-41529","	@username #infeliz con #redbus CC, cuándo  hablé con ellos antes de que una semana todavía no iniciaron el reembolso de la transacción.	","sadness", 0.604
"2017-En-40538","	@username @username @username @username Pienso que sea huffing que pino tar  utilizan para murciélago gripping .	","sadness", 0.375
"2017-En-41379","	@username @username Perdido un amigo demasiado	","sadness", 0.667
"2017-En-40955","	* depresión * #de Suspiro #saddness #afterellen #shitsucks	","sadness", 0.917
"2017-En-40843","	autor amateur Twitter podría ser el más deprimiendo cosa nunca he visto	","sadness", 0.688
"2017-En-41225","	@username da las gracias por hacer me super triste aproximadamente Pizza . #Triste #freepizza	","sadness", 0.500
"2017-En-40187","	@username \ n — momentarily antes de que  desaparezca, ansiedad y solemnidad únicas que abrochan sus características. \n\n' Corrí fuera para conseguirte antes de —	","sadness", 0.646
"2017-En-41297","	Encabezar casa para cortar hierba en el calor . Todo  quiero hacer es sale para comer en algún lugar el aire condicionó . #AdultingIsTheWorst	","sadness", 0.685
"2017-En-41260","	Este nigga  no incluso buscar su real familiar 🙄 😂 #triste	","sadness", 0.729
"2017-En-41162","	o cuándo alguien me digo yo needa a sonrisa le gusta me me disculpo ? ? ? Ahora justo estoy arrugando la frente incluso más duro eres feliz	","sadness", 0.500
"2017-En-40066","	@username #CharlotteProtest  u #espera num el vídeo #de hechos o  u #el odio ahora pregunta cuestiones más tarde #protesta #triste #PoliceShootings #las sugerencias	","sadness", 0.771
"2017-En-20818","	Condimentan num del penique terrible es en Netflix ... Bien mi tarde está llenada	","sadness", 0.333
"2017-En-20744","	Para un equipo como grande como Bayern y el les gusta jugar el fútbol, su campo está jodiendo terrible. Ciertamente ningún campo de Emiratos en todo caso.	","sadness", 0.542
"2017-En-40944","	Cuándo estación num de greys anatomía premieres hoy . Él  eres sólo encima condimentar num #tristeza :(	","sadness", 0.625
"2017-En-40459","	Cuando  perdí mi corazón a ti allí en la oscuridad .. Debajo las estrellas 🎧	","sadness", 0.438
"2017-En-40205","	@username no puede soportar wi su cara ácida y minúsculo pout 😡 😡	","sadness", 0.625
"2017-En-41049","	F'n morons unum SMFH puede no justo ser lackadaisical	","sadness", 0.417
"2017-En-40156","	emociones Mixtas . #Tristeza #anxietymaybe #missingfriends #growingupsucks #lostfriends #wheresthetruefriends #complicaciones	","sadness", 0.667
"2017-En-40251","	El Sorrow es recordatorio siniestro de cómo malo  puedo ser en videojuegos y cómo  podría conseguir un poco demasiado el gatillo feliz en tiempo . DESGARRA #MGSnum	","sadness", 0.604
"2017-En-40972","	El últimas pocas semanas han sido terribles . Abriendo arriba de heridas #viejas . El #chisme de otros / mal que derrame de thier labios #melancholy #sadnnes	","sadness", 0.854
"2017-En-40194","	la vida es demasiado corta tan dont brote él en con tristeza de preocupaciones y dolor .	","sadness", 0.646
"2017-En-40577","	Remordimiento para las cosas podemos ser templados por tiempo ; es remordimiento para las cosas nosotros  no  que es inconsolable . - Sydney J . Harris	","sadness", 0.354
"2017-En-40107","	No Quiere ir para trabajar pero  quiero el dinero #triste	","sadness", 0.729
"2017-En-41215","	Justo porque  estoy haciendo daño \ nDoesn't malo I estoy hecho daño \ nDoesn't malo no conseguí \ nWhat  merecí \ nNo mejor y no peor #perdió @username	","sadness", 0.583
"2017-En-40183","	no pienso es plenamente hundido en aquel Val está ido todavía	","sadness", 0.654
"2017-En-41220","	Ghanaians no necesita para llevar negro de llorar tho ... Justo pueden andar en cueros * dodges piedras * Na chiste na ☹ '	","sadness", 0.375
"2017-En-40221","	@username @username Sinceramente material siniestro . Sobre un siglo de historia vendió fuera por algún barón de porno twats para un minty estadio nuevo . Urgh	","sadness", 0.624
"2017-En-40492","	@username @username Darme un sonriendo emoticon voluntad ya ? i dont Como la idea de ti arrugando la frente > . <	","sadness", 0.417
"2017-En-40470","	Shoutout Al hombre bebido en el autobús que meado en una botella y en los asientos que	","sadness", 0.436
"2017-En-41017","	Consiguen tan entusiasmados para @username num ! !  Jugamos la etapa principal domingo Oct . num En num:num ! ! #jazzholiday #riesbrothers #Mermelada #de rock	","sadness", 0.167
"2017-En-41144","	@username Si  cambias las imágenes oscuras tanto mirar diferente, pero ambos parecen  son en un bosque.	","sadness", 0.438
"2017-En-40855","	Aplicación común justo aleatoriamente logged me fuera cuando  escribía la última parte de mi ensayo universitario y perdió todo de él 😭 😭 😭	","sadness", 0.833
"2017-En-40117","	Literalmente siendo aquí me hago deprimir tbh	","sadness", 0.708
"2017-En-41345","	ah #perdido #mah #tren de thunk .	","sadness", 0.417
"2017-En-41075","	Espero que un objetivo viene pronto en cualquier lado . Otherwise Hay una amenaza seria de un atenuar y frustrando juego . #COYS	","sadness", 0.479
"2017-En-40784","	@username Segundo anuncio de artista que mira bueno #bluesfestnum #blues #Música #byronbay	","sadness", 0.083
"2017-En-40299","	Gaaad ! se tendría que haber quedado en Londres !	","sadness", 0.562
"2017-En-40795","	Mirando este uni revela es tan deprimiendo i perder stingrays :(	","sadness", 0.667
"2017-En-20424","	los americanos globalmente son, mayoritariamente, sintiendo borderline desesperación en el muy menos. Mirando en una situación fuera de control.	","sadness", 0.688
"2017-En-41100","	Incluso podría ser en el verge de depresión .	","sadness", 0.875
"2017-En-40406","	Siempre hacer sereno qué dijiste que harías bebido . Aquello te enseñará para mantener vuestra boca cerró . \ n ― Ernest Hemingway #cita	","sadness", 0.479
"2017-En-40840","	Rooney es num patios del paso en un juego de Taza de la Liga contra Northampton Ciudad . Dejado aquello se hunde en para un momento . #MUFC	","sadness", 0.292
"2017-En-20246","	Algunas cuestiones  subes Twitter marca  quieres desesperación .  Hemos sido tan battered .  Renegamos pero no es convenció las cosas podrían ser mejores .	","sadness", 0.625
"2017-En-20020","	@username  Estoy rodeado por aquellos votantes de Triunfo .  Eres bien,  está jodiendo aterrando. #redstate #Desesperación	","sadness", 0.833
"2017-En-40434","	Im tan serio aproximadamente poniendo palabras en mi puta de boca no añade ' el ' a mi frase si no dije aquella mierda en sangres	","sadness", 0.458
"2017-En-40408","	@username - decisión posible peor  podría haber hecho cuándo llegando en el Reino Unido . Servicio impresionante . Cobertura pobre .	","sadness", 0.479
"2017-En-41335","	@username Mi corazón justo se hundió .	","sadness", 0.833
"2017-En-41321","	#Taurus, mayoritariamente,  tienes control perfecto sobre vuestras Emociones y tú son prudentes no para ser tan sulky alrededor cualquiera!	","sadness", 0.354
"2017-En-40409","	Perdido mi num día snapchat streak i estoy hecho	","sadness", 0.477
"2017-En-41282","	@username I soy tan starved para contenta  lo tomaría pero  hube def pout aproximadamente él ( ՟ ິ ͫ ઘ ՟ ິ ͫ )	","sadness", 0.500
"2017-En-40035","	no desearía ansiedad y depresión incluso en el peores de personas . No es divertido . #Depresión #de ansiedad	","sadness", 0.833
"2017-En-41101","	@username Paso num : Consigue librado de @username Paso num : Prioriza Paso de fútbol num : beneficio ? #Deprimiendo	","sadness", 0.667
"2017-En-31426","	 quiero mi punto destacado para ser tan brillante que si nunca consigo perdido y alguien está buscándome en la oscuridad,  me encontrarán.	","sadness", 0.188
"2017-En-40403","	@username Con un arrugar la frente,  deje es fuera de un distraught 'Gardevoir' diciendo que  desea  tenga unos Pésames	","sadness", 0.479
"2017-En-40071","	de entrenador al JC y el Georges familia .. #Triste	","sadness", 0.771
"2017-En-40176","	como muy deprimido y la persona suicida que ve alguien canta sobre su propio deprimiendo vida aún así habiendo la diversión es muy relatable y animando	","sadness", 0.667
"2017-En-40982","	es triste cuándo  hablas a alguien sobre ya pasado n cómo  te jodiste arriba y entonces ellos  la misma cosa como las personas realmente no tienen corazones	","sadness", 0.812
"2017-En-40219","	@username \ nOh,  siento aproximadamente lo, no es triste tú hay nada importante en el mundial de apenárselo de	","sadness", 0.625
"2017-En-40425","	fue a Plus de Suministros de la Mascota esta noche pero @username no trabajaba  siento #perdido y #confundido	","sadness", 0.458
"2017-En-41398","	@username @username @username @username  veo mi ' eliminar la lengua de colgar ' la campaña es un dismal fracaso .	","sadness", 0.479
"2017-En-40077","	@username @username Horrid Enfermedad ! Mi abuela maternal y cada cual de sus hermanas adoleció esta aflicción . Es duro encima todo .	","sadness", 0.750
"2017-En-41392","	* Suspiro * #saddness #afterellen #shitsucks	","sadness", 0.875
"2017-En-40523","	@username hay no sitcom mejor ! Si u no puede reír en Sheldon o Leonard entonces u es sereno de verdad ! Ninguno dos maneras aproximadamente él	","sadness", 0.396
"2017-En-40359","	@username  somos entristecer por este porque nosotros siempre strive para traer el servicio mejor a nuestro cliente . Siempre seremos aquí para ti . CM	","sadness", 0.521
"2017-En-41013","	tan probablemente hunger y depresión y disociando equals un tiempo extraño cualquier cosa más	","sadness", 0.750
"2017-En-40154","	@username @username tristemente no ! ! Uno menos hora bebiendo tiempo 😢 🍻	","sadness", 0.667
"2017-En-40186","	@username duro de decir en vuestro pic . Mi equivocación entonces . Cualquier manera, nada  dije inicialmente era aproximadamente carrera. U Lo tomó allí. #Triste #ignorante	","sadness", 0.646
"2017-En-41527","	 utilice para ser bonito, pero  viva su vida demasiado rápido - Ciudad de Bosque Joe #blues #blinddogradio	","sadness", 0.398
